id,date_time,latitude,longitude,type,area
1,2014070100Z,47.631,-120.273,WF,46
2,2014070100Z,47.674,-120.255,WF,46
3,2014070100Z,47.631,-120.273,WF,46
4,2014070100Z,47.64,-120.276,WF,46
5,2014070100Z,47.629,-120.287,WF,46
6,2014070100Z,47.656,-120.31,WF,46
7,2014070100Z,47.656,-120.235,WF,46
8,2014070100Z,47.634,-120.244,WF,46
9,2014070100Z,47.664,-120.253,WF,46
10,2014070100Z,47.621,-120.27,WF,46
11,2014070100Z,47.64,-120.276,WF,46
12,2014070100Z,47.658,-120.296,WF,46
13,2014070100Z,47.656,-120.31,WF,46
14,2014070100Z,47.576,-120.302,WF,46
15,2014070100Z,47.605,-120.386,WF,46
16,2014070100Z,47.691,-120.351,WF,46
17,2014070100Z,47.678,-120.377,WF,46
18,2014070100Z,47.598,-120.368,WF,46
19,2014070100Z,47.676,-120.391,WF,46
20,2014070100Z,47.576,-120.302,WF,46
21,2014070100Z,47.572,-120.331,WF,46
22,2014070100Z,48.251,-120.108,WF,46
23,2014070100Z,48.229,-120.116,WF,46
24,2014070100Z,48.372,-120.645,WF,46
25,2014070100Z,48.196,-120.061,WF,46
26,2014070100Z,48.225,-120.146,WF,46
27,2014070100Z,48.345,-120.546,WF,46
28,2014070100Z,48.164,-119.992,WF,46
29,2014070100Z,48.341,-120.575,WF,46
30,2014070100Z,48.38,-120.587,WF,46
31,2014070100Z,48.372,-120.645,WF,46
32,2014070100Z,47.673,-120.706,WF,46
33,2014070100Z,48.203,-119.851,WF,46
34,2014070100Z,48.135,-119.907,WF,46
35,2014070100Z,48.406,-120.001,WF,46
36,2014070100Z,48.18,-119.951,WF,46
37,2014070100Z,48.19,-119.953,WF,46
38,2014070100Z,48.119,-119.948,WF,46
39,2014070100Z,48.401,-120.045,WF,46
40,2014070100Z,48.408,-120.063,WF,46
41,2014070100Z,48.162,-120.006,WF,46
42,2014070100Z,48.26,-120.035,WF,46
43,2014070100Z,48.426,-120.083,WF,46
44,2014070100Z,48.141,-120.015,WF,46
45,2014070100Z,48.161,-120.021,WF,46
46,2014070100Z,48.159,-120.035,WF,46
47,2014070100Z,48.178,-120.041,WF,46
48,2014070100Z,48.207,-120.05,WF,46
49,2014070100Z,48.196,-120.061,WF,46
50,2014070100Z,48.206,-120.064,WF,46
51,2014070100Z,48.229,-120.116,WF,46
52,2014070100Z,48.225,-120.146,WF,46
53,2014070100Z,48.141,-119.697,WF,46
54,2014070100Z,48.171,-119.706,WF,46
55,2014070100Z,48.2,-119.714,WF,46
56,2014070100Z,48.239,-119.725,WF,46
57,2014070100Z,48.155,-119.747,WF,46
58,2014070100Z,48.124,-119.753,WF,46
59,2014070100Z,48.336,-120.072,WF,46
60,2014070100Z,48.28,-119.722,WF,46
61,2014070100Z,48.292,-119.71,WF,46
62,2014070100Z,47.945,-119.883,WF,46
63,2014070100Z,47.638,-120.741,WF,46
64,2014070100Z,47.64,-120.726,WF,46
65,2014070100Z,48.177,-119.738,WF,46
66,2014070100Z,48.29,-119.801,WF,46
67,2014070100Z,48.161,-119.779,WF,46
68,2014070100Z,48.181,-119.784,WF,46
69,2014070100Z,48.23,-119.798,WF,46
70,2014070100Z,48.169,-119.796,WF,46
71,2014070100Z,48.167,-119.811,WF,46
72,2014070100Z,48.117,-119.811,WF,46
73,2014070100Z,48.185,-119.831,WF,46
74,2014070100Z,48.205,-119.837,WF,46
75,2014070100Z,48.203,-119.851,WF,46
76,2014070100Z,48.213,-119.854,WF,46
77,2014070100Z,48.146,-119.895,WF,46
78,2014070100Z,48.156,-119.898,WF,46
79,2014070100Z,48.19,-119.953,WF,46
80,2014070100Z,47.973,-119.906,WF,46
81,2014070100Z,48.315,-120.005,WF,46
82,2014070100Z,48.088,-119.954,WF,46
83,2014070100Z,48.338,-120.057,WF,46
84,2014070100Z,48.112,-120.007,WF,46
85,2014070100Z,48.151,-120.018,WF,46
86,2014070100Z,48.229,-120.041,WF,46
87,2014070100Z,48.207,-120.05,WF,46
88,2014070100Z,48.334,-120.087,WF,46
89,2014070100Z,48.196,-120.061,WF,46
90,2014070100Z,48.206,-120.064,WF,46
91,2014070100Z,48.411,-120.124,WF,46
92,2014070100Z,48.213,-120.082,WF,46
93,2014070100Z,48.225,-120.146,WF,46
94,2014070100Z,48.106,-120.126,WF,46
95,2014070100Z,48.19,-120.181,WF,46
96,2014070100Z,48.292,-119.71,WF,46
97,2014070100Z,48.338,-120.057,WF,46
98,2014070100Z,48.424,-120.098,WF,46
99,2014070100Z,48.311,-120.11,WF,46
100,2014070100Z,48.19,-120.181,WF,46
101,2014070100Z,47.953,-119.9,WF,46
102,2014070100Z,48.372,-120.645,WF,46
103,2014070100Z,47.557,-120.296,WF,46
104,2014070100Z,48.333,-119.706,WF,46
105,2014070100Z,48.334,-120.087,WF,46
106,2014070100Z,48.329,-120.663,WF,46
107,2014070100Z,48.333,-119.706,WF,46
108,2014070100Z,48.377,-119.993,WF,46
109,2014070100Z,48.26,-120.035,WF,46
110,2014070100Z,48.106,-120.126,WF,46
111,2014070100Z,48.406,-120.001,WF,46
112,2014070100Z,48.518,-120.08,WF,46
113,2014070100Z,48.518,-120.08,WF,46
114,2014070100Z,48.374,-120.631,WF,46
115,2014070100Z,48.329,-120.663,WF,46
116,2014070100Z,48.325,-120.692,WF,46
117,2014070100Z,47.657,-120.821,WF,46
118,2014070100Z,47.667,-120.824,WF,46
119,2014070100Z,47.647,-120.894,WF,46
120,2014070100Z,48.469,-119.989,WF,46
121,2014070100Z,48.525,-120.021,WF,46
122,2014070100Z,48.401,-120.045,WF,46
123,2014070100Z,48.518,-120.08,WF,46
124,2014070100Z,48.207,-120.05,WF,46
125,2014070100Z,48.352,-120.563,WF,46
126,2014070100Z,48.378,-120.602,WF,46
127,2014070100Z,47.675,-120.842,WF,46
128,2014070100Z,48.372,-120.645,WF,46
129,2014070100Z,46.004,-116.928,WF,46
130,2014070100Z,46.013,-116.93,WF,46
131,2014070100Z,45.992,-116.94,WF,46
132,2014070100Z,48.37,-120.66,WF,46
133,2014070100Z,47.667,-120.824,WF,46
134,2014070100Z,48.432,-120.344,WF,46
135,2014070100Z,48.393,-120.637,WF,46
136,2014070100Z,46.012,-116.944,WF,46
137,2014070100Z,48.329,-120.663,WF,46
138,2014070100Z,47.465,-120.673,WF,46
139,2014070100Z,47.461,-120.702,WF,46
140,2014070100Z,47.675,-120.842,WF,46
141,2014070100Z,48.409,-120.443,WF,46
142,2014070100Z,46.017,-116.989,WF,46
143,2014070100Z,48.013,-120.522,WF,46
144,2014070100Z,47.465,-120.673,WF,46
145,2014070100Z,47.461,-120.702,WF,46
146,2014070100Z,47.69,-120.877,WF,46
147,2014070100Z,48.3,-118.652,WF,46
148,2014070100Z,48.403,-120.411,WF,46
149,2014070100Z,47.667,-120.824,WF,46
150,2014070100Z,47.69,-120.877,WF,46
151,2014070100Z,48.3,-118.652,WF,46
152,2014070100Z,48.525,-120.021,WF,46
153,2014070100Z,48.403,-120.411,WF,46
154,2014070100Z,46.092,-116.948,WF,46
155,2014070100Z,46.102,-116.95,WF,46
156,2014070100Z,46.109,-116.98,WF,46
157,2014070100Z,46.119,-116.982,WF,46
158,2014070100Z,46.097,-116.992,WF,46
159,2014070100Z,46.094,-117.02,WF,46
160,2014070100Z,47.997,-120.638,WF,46
161,2014070100Z,48.3,-118.652,WF,46
162,2014070100Z,45.644,-120.913,WF,46
163,2014070100Z,48.407,-120.61,WF,46
164,2014070100Z,48.372,-120.645,WF,46
165,2014070100Z,48.717,-120.261,WF,46
166,2014070100Z,48.793,-120.299,WF,46
167,2014070100Z,48.456,-120.397,WF,46
168,2014070100Z,48.464,-120.414,WF,46
169,2014070100Z,48.403,-120.411,WF,46
170,2014070100Z,48.378,-120.602,WF,46
171,2014070100Z,48.013,-120.522,WF,46
172,2014070100Z,47.128,-121.049,WF,46
173,2014070100Z,48.793,-120.299,WF,46
174,2014070100Z,48.403,-120.411,WF,46
175,2014070100Z,48.393,-120.637,WF,46
176,2014070100Z,48.378,-120.602,WF,46
177,2014070100Z,48.374,-120.631,WF,46
178,2014070100Z,48.161,-118.283,WF,46
179,2014070100Z,48.3,-118.652,WF,46
180,2014070100Z,47.128,-121.049,WF,46
181,2014070100Z,48.432,-120.344,WF,46
182,2014070100Z,48.456,-120.397,WF,46
183,2014070100Z,48.464,-120.414,WF,46
184,2014070100Z,48.403,-120.411,WF,46
185,2014070100Z,47.128,-121.049,WF,46
186,2014070100Z,48.789,-120.252,WF,46
187,2014070100Z,48.161,-118.283,WF,46
188,2014070100Z,47.014,-122.429,WF,46
189,2014070100Z,47.005,-122.619,WF,46
190,2014070100Z,47.015,-122.623,WF,46
191,2014070100Z,48.007,-120.49,WF,46
192,2014070100Z,47.045,-122.558,WF,46
193,2014070100Z,47.055,-122.562,WF,46

